Name,MapperID,World,Type,Etat,SubEtat,Flag,DES,ETA,OffsetBX,OffsetBY,OffsetHY,FollowSprite,HitPoints,HitSprite,FollowEnabled,ConnectedEvents,LabelOffsets,Commands,LocalCommands
Steady cloud,MS_sic,Music,1,0,1,,13,12,64,0,12,0,0,0,True,,,,2_254_33_255
,,Mountain,1,0,1,,12,11,64,0,12,0,0,0,True,,,2_254_33_255,
Steady cloud,MS_nuap,Mountain,1,0,1,,12,11,64,0,12,0,0,0,True,,,,2_254_33_255
Steady cloud,MS_gatp,Image,1,0,1,,14,13,64,0,12,0,0,0,True,,,,2_254_33_255
,,Cave,1,0,1,,13,12,64,0,12,0,0,0,True,,,2_254_33_255,
Steady cloud,MS_nuap,Cave,1,0,1,,13,12,64,0,12,0,0,0,True,,,,2_254_33_255
,,Cake,1,0,1,,15,14,64,0,12,0,0,0,True,,,2_254_33_255,
Steady cloud,MS_gatp,Cake,1,0,1,,15,14,64,0,12,0,0,0,True,,,,2_254_33_255
Fruit that swings after have been punched,MS_lia,Jungle,1,0,5,,16,14,80,0,10,7,1,7,True,,,,2_254_33_255
,,Jungle,1,0,6,,16,14,80,80,10,7,0,0,True,,,2_254_33_255,
Fruit that swings,MS_li2,Jungle,1,0,6,,16,14,80,80,10,7,0,0,True,,,,2_254_33_255
,,Image,1,0,11,,11,8,80,80,4,0,0,0,True,,,30_250_33_255,
Steady pencil sharpener,MS_ubi_taille,Image,1,0,11,,11,8,80,80,4,0,0,0,True,,,,30_250_33_255
,,Image,1,0,14,,11,8,90,64,10,0,1,254,True,,,30_250_33_255,
Steady ying-yang,MS_ubi_yin3,Image,1,0,14,,11,8,90,64,10,0,1,254,True,,,,30_250_33_255
Power+1,MS_po1,All,2,6,0,,2,1,80,32,0,0,1,254,False,,,,2_254_33_255
,,All,2,6,0,,2,1,80,32,0,0,1,254,False,,,2_254_33_255,
Power+1,MS_po1,All,2,6,0,,2,1,80,32,0,0,1,254,False,,,,2_254_33_255
Power+1,MS_po1,All,2,6,0,,2,1,80,32,0,0,1,254,False,,,,2_254_33_255
Power+1,MS_po1,All,2,6,0,,2,1,80,32,0,0,1,254,False,,,,2_254_33_255
Power+1,MS_po1,All,2,6,0,,2,1,80,32,0,0,1,254,False,,,,2_254_33_255
Power+1,MS_po1,All,2,6,0,,2,1,80,32,0,0,1,254,False,,,,2_254_33_255
,,All,2,6,1,,2,1,80,32,0,0,2,254,False,,,2_254_33_255,
Power+2,MS_po2,All,2,6,1,,2,1,80,32,0,0,2,254,False,,,,2_254_33_255
Power+2,MS_po2,All,2,6,1,,2,1,80,32,0,0,2,254,False,,,,2_254_33_255
Power+2,MS_po2,All,2,6,1,,2,1,80,32,0,0,2,254,False,,,,2_254_33_255
Power+2,MS_po2,All,2,6,1,,2,1,80,32,0,0,2,254,False,,,,2_254_33_255
Power+2,MS_po2,All,2,6,1,,2,1,80,32,0,0,2,254,False,,,,2_254_33_255
Power+2,MS_po2,All,2,6,1,,2,1,80,32,0,0,2,254,False,,,,2_254_33_255
,,Jungle,3,2,1,,14,9,16,62,44,0,0,0,False,,1_1_51,11_1_8_1_5_0_19_5_8_0_5_0_19_2_8_1_5_0_19_4_8_0_5_1_19_1_8_1_5_0_19_6_8_0_5_2_19_2_24_0_11_0_8_0_5_4_19_1_24_1_11_2_30_200_24_2_33_255,
,always,Jungle,3,2,1,Always,14,9,16,62,44,0,0,0,False,,,,11_1_8_1_5_0_19_5_8_0_5_0_19_2_8_1_5_0_19_4_8_0_5_1_19_1_8_1_5_0_19_6_8_0_5_2_19_2_12_1_11_0_8_0_5_4_19_1_12_1_11_2_30_200_12_2_33_255
,,Music,3,2,1,,11,8,16,62,44,0,0,0,False,,1_1_51,11_1_8_1_5_0_19_5_8_0_5_0_19_2_8_1_5_0_19_4_8_0_5_1_19_1_8_1_5_0_19_6_8_0_5_2_19_2_24_0_11_0_8_0_5_4_19_1_24_1_11_2_30_200_24_2_33_255,
,always,Music,3,2,1,Always,11,8,16,62,44,0,0,0,False,,,,11_1_8_1_5_0_19_5_8_0_5_0_19_2_8_1_5_0_19_4_8_0_5_1_19_1_8_1_5_0_19_6_8_0_5_2_19_2_12_1_11_0_8_0_5_4_19_1_12_1_11_2_30_200_12_2_33_255
,,Mountain,3,2,1,,11,8,16,62,44,0,0,0,False,,1_1_51,11_1_8_1_5_0_19_5_8_0_5_0_19_2_8_1_5_0_19_4_8_0_5_1_19_1_8_1_5_0_19_6_8_0_5_2_19_2_24_0_11_0_8_0_5_4_19_1_24_1_11_2_30_200_24_2_33_255,
,always,Mountain,3,2,1,Always,11,8,16,62,44,0,0,0,False,,,,11_1_8_1_5_0_19_5_8_0_5_0_19_2_8_1_5_0_19_4_8_0_5_1_19_1_8_1_5_0_19_6_8_0_5_2_19_2_12_1_11_0_8_0_5_4_19_1_12_1_11_2_30_200_12_2_33_255
,,Image,3,2,1,,12,9,16,62,44,0,0,0,False,,1_1_51,11_1_8_1_5_0_19_5_8_0_5_0_19_2_8_1_5_0_19_4_8_0_5_1_19_1_8_1_5_0_19_6_8_0_5_2_19_2_24_0_11_0_8_0_5_4_19_1_24_1_11_2_30_200_24_2_33_255,
,always,Image,3,2,1,Always,12,9,16,62,44,0,0,0,False,,,,11_1_8_1_5_0_19_5_8_0_5_0_19_2_8_1_5_0_19_4_8_0_5_1_19_1_8_1_5_0_19_6_8_0_5_2_19_2_12_1_11_0_8_0_5_4_19_1_12_1_11_2_30_200_12_2_33_255
,,Cave,3,2,1,,12,9,16,62,44,0,0,0,False,,1_1_51,11_1_8_1_5_0_19_5_8_0_5_0_19_2_8_1_5_0_19_4_8_0_5_1_19_1_8_1_5_0_19_6_8_0_5_2_19_2_24_0_11_0_8_0_5_4_19_1_24_1_11_2_30_200_24_2_33_255,
,always,Cave,3,2,1,Always,12,9,16,62,44,0,0,0,False,,,,11_1_8_1_5_0_19_5_8_0_5_0_19_2_8_1_5_0_19_4_8_0_5_1_19_1_8_1_5_0_19_6_8_0_5_2_19_2_12_1_11_0_8_0_5_4_19_1_12_1_11_2_30_200_12_2_33_255
,,Cake,3,2,1,,12,9,16,62,44,0,0,0,False,,1_1_51,11_1_8_1_5_0_19_5_8_0_5_0_19_2_8_1_5_0_19_4_8_0_5_1_19_1_8_1_5_0_19_6_8_0_5_2_19_2_24_0_11_0_8_0_5_4_19_1_24_1_11_2_30_200_24_2_33_255,
,always,Cake,3,2,1,Always,12,9,16,62,44,0,0,0,False,,,,11_1_8_1_5_0_19_5_8_0_5_0_19_2_8_1_5_0_19_4_8_0_5_1_19_1_8_1_5_0_19_6_8_0_5_2_19_2_12_1_11_0_8_0_5_4_19_1_12_1_11_2_30_200_12_2_33_255
,,Jungle,4,0,0,,16,14,80,0,0,0,0,0,False,,,2_254_33_255,
Jumper mushrooms,MS_tas,Jungle,4,0,0,,16,14,80,0,0,0,0,0,False,,,,2_254_33_255
,,Mountain,4,0,0,,19,15,18,32,0,0,0,0,False,,,2_200_33_255,
Birds in love,MS_mus_piaf,Mountain,4,0,0,,19,15,18,32,0,0,0,0,False,,,,2_200_33_255
,,Cave,4,0,0,,17,16,18,32,0,0,0,0,False,,,2_200_33_255,
Birds in love,MS_mus_piaf,Cave,4,0,0,,17,16,18,32,0,0,0,0,False,,,,2_200_33_255
,,Mountain,4,0,2,,19,15,18,32,0,0,0,0,False,,,2_200_33_255,
,,Mountain,4,0,2,,18,14,80,50,18,0,200,0,False,,,2_250_33_255,
Background torch,MS_flamme1,Mountain,4,0,2,,18,14,80,50,18,0,200,0,False,,,,2_250_33_255
Wife and child,MS_mus_fam,Mountain,4,0,2,,19,15,18,32,0,0,0,0,False,,,,2_200_33_255
Background torch,MS_flamme1,Cave,4,0,2,,30,5,80,50,18,0,200,0,False,,,,2_250_33_255
,,Jungle,4,0,3,,16,14,80,0,0,0,0,0,False,,,2_254_33_255,
Tightrope walker mushrooms,MS_fam,Jungle,4,0,3,,16,14,80,0,0,0,0,0,False,,,,2_254_33_255
,,Jungle,4,0,4,,16,14,80,0,0,0,0,0,False,,,2_254_33_255,
Animated flower,MS_tam,Jungle,4,0,4,,16,14,80,0,0,0,0,0,False,,,,2_254_33_255
,,Jungle,4,0,30,,16,14,80,0,0,0,0,0,False,,,2_254_33_255,
Butterfly 1,MS_pap1,Jungle,4,0,30,,16,14,80,0,0,0,0,0,False,,,,2_254_33_255
,,Jungle,4,0,31,,16,14,80,0,0,0,0,0,False,,,2_254_33_255,
Butterfly 2,MS_pap2,Jungle,4,0,31,,16,14,80,0,0,0,0,0,False,,,,2_254_33_255
,,Jungle,4,0,32,,16,14,80,0,0,0,0,0,False,,,2_254_33_255,
Butterfly 3,MS_pap3,Jungle,4,0,32,,16,14,80,0,0,0,0,0,False,,,,2_254_33_255
,,Jungle,4,0,33,,16,14,80,0,0,0,0,0,False,,,2_254_33_255,
Butterfly 4,MS_pap4,Jungle,4,0,33,,16,14,80,0,0,0,0,0,False,,,,2_254_33_255
,,Jungle,4,0,34,,16,14,80,0,0,0,0,0,False,,,2_254_33_255,
Butterfly 5,MS_pap5,Jungle,4,0,34,,16,14,80,0,0,0,0,0,False,,,,2_254_33_255
,,Jungle,4,0,35,,16,14,80,0,0,0,0,0,False,,,2_254_33_255,
Butterfly 6,MS_pap6,Jungle,4,0,35,,16,14,80,0,0,0,0,0,False,,,,2_254_33_255
,,Jungle,4,0,36,,16,14,80,0,0,0,0,0,False,,,2_254_33_255,
Butterfly 7,MS_pap7,Jungle,4,0,36,,16,14,80,0,0,0,0,0,False,,,,2_254_33_255
,,Jungle,4,0,37,,16,14,80,0,0,0,0,0,False,,,2_254_33_255,
Butterfly 8,MS_pap8,Jungle,4,0,37,,16,14,80,0,0,0,0,0,False,,,,2_254_33_255
,,Image,6,0,13,,11,8,90,64,48,2,1,254,False,,,30_250_33_255,
Releasable steady ying-yang pick,MS_ubi_yin2,Image,6,0,13,,11,8,90,64,48,2,1,254,False,,,,30_250_33_255
,,Image,6,2,0,,11,8,90,64,48,2,1,254,False,,,30_250_33_255,
Prickly ying-yang,MS_ubi_yin2bis,Image,6,2,0,,11,8,90,64,48,2,1,254,False,,,,30_250_33_255
,,Jungle,7,0,7,,16,14,80,20,0,0,0,254,False,,,2_254_33_255,
Swinging prickly fruit,MS_li3,Jungle,7,0,7,,16,14,80,20,0,0,0,254,False,,,,2_254_33_255
,,Jungle,8,0,12,,16,14,20,30,9,0,1,254,True,,,2_254_33_255,
Steady plum 1,MS_fr1,Jungle,8,0,12,,16,14,20,30,9,0,1,254,True,,,,2_254_33_255
Bouncing plum,MS_ubi_fr4,Jungle,8,2,2,,16,14,20,30,11,0,1,254,True,,,,2_254_33_255
Little livingstone,MS_pti,Jungle,9,0,0,,15,13,80,95,50,3,2,254,False,,,,11_0_8_0_5_7_19_1_6_4_11_5_8_1_5_13_11_2_0_100_2_1_8_0_5_0_19_1_0_100_6_4_11_4_8_0_5_14_19_1_12_2_11_1_8_0_5_7_19_1_6_4_11_6_8_1_5_13_11_3_1_100_2_1_8_0_5_0_19_1_1_100_6_4_11_4_8_0_5_14_19_1_12_3_33_255
,always,Jungle,9,0,0,Always,15,13,80,95,50,3,2,254,False,Flower tentacle,,,11_0_8_0_5_7_19_1_6_4_11_5_8_1_5_13_11_2_0_100_2_1_8_0_5_0_19_1_0_100_6_4_11_4_8_0_5_14_19_1_12_2_11_1_8_0_5_7_19_1_6_4_11_6_8_1_5_13_11_3_1_100_2_1_8_0_5_0_19_1_1_100_6_4_11_4_8_0_5_14_19_1_12_3_33_255
,,Jungle,10,0,0,,17,15,80,80,0,0,1,255,False,,,11_1_3_120_33_255,
Piranhas,MS_pir,Jungle,10,0,0,,17,15,80,80,0,0,1,255,False,,,,11_1_3_120_33_255
,,All,11,5,0,,2,1,24,32,0,0,0,0,False,,,2_200_33_255,
,always,All,11,5,0,Always,2,1,24,32,0,0,0,0,False,,,,2_200_33_255
,always,All,11,5,0,Always,2,1,24,32,0,0,0,0,False,MS_mst/MS_mst2,,,2_200_33_255
,always,All,11,5,0,Always,2,1,24,32,0,0,0,0,False,,,,2_200_33_255
,always,All,11,5,0,Always,2,1,24,32,0,0,0,0,False,,,,2_200_33_255
,,All,11,5,0,,2,1,24,32,0,0,0,0,False,,,30_200_33_255,
,always,All,11,5,0,Always,2,1,24,32,0,0,0,0,False,,,,30_200_33_255
,always,All,11,5,0,Always,2,1,24,32,0,0,0,0,False,,,,2_200_33_255
,always,All,11,5,0,Always,2,1,24,32,0,0,0,0,False,,,,2_200_33_255
,,Jungle,12,0,0,,9,5,80,95,32,3,3,254,False,,,2_254_33_255,
Hunter 1,MS_cha,Jungle,12,0,0,,9,5,80,95,32,3,3,254,False,,,,2_254_33_255
Hunter 1,MS_cha,Music,12,0,0,,9,5,80,95,32,3,3,254,False,,,,2_254_33_255
Hunter 1,MS_cha,Mountain,12,0,0,,10,6,80,95,32,3,3,254,False,,,,2_254_33_255
Hunter 1,MS_cha,Image,12,0,0,,9,5,80,95,32,3,3,254,False,,,,2_254_33_255
Hunter 1,MS_cha,Cave,12,0,0,,10,6,80,95,32,3,3,254,False,,,,2_254_33_255
,,Cake,12,0,0,,10,6,80,95,32,3,3,254,False,,,2_254_33_255,
Hunter 1,MS_cha,Cake,12,0,0,,10,6,80,95,32,3,3,254,False,,,,2_254_33_255
,,Jungle,13,2,2,,9,6,80,64,50,0,0,254,False,,11_27,11_1_8_2_5_2_0_20_5_11_11_2_0_10_24_0_11_3_8_2_5_2_1_20_5_11_11_4_1_10_24_1_33_255,
,always,Jungle,13,2,2,Always,9,6,80,64,50,0,0,254,False,Hunter 1/Hunter 2,,,11_1_8_2_5_2_0_20_5_11_11_2_0_10_12_2_11_3_8_2_5_2_1_20_5_11_11_4_1_10_12_4_33_255
,always,Music,13,2,2,Always,9,6,80,64,50,0,0,254,False,Hunter 1/Hunter 2,,,11_1_8_2_5_2_0_20_5_11_11_2_0_10_12_2_11_3_8_2_5_2_1_20_5_11_11_4_1_10_12_4_33_255
,always,Mountain,13,2,2,Always,10,7,80,64,50,0,0,254,False,Hunter 1/Hunter 2,,,11_1_8_2_5_2_0_20_5_11_11_2_0_10_12_2_11_3_8_2_5_2_1_20_5_11_11_4_1_10_12_4_33_255
,always,Image,13,2,2,Always,9,6,80,64,50,0,0,254,False,Hunter 1/Hunter 2,,,11_1_8_2_5_2_0_20_5_11_11_2_0_10_12_2_11_3_8_2_5_2_1_20_5_11_11_4_1_10_12_4_33_255
,always,Cave,13,2,2,Always,10,7,80,64,50,0,0,254,False,Hunter 1/Hunter 2,,,11_1_8_2_5_2_0_20_5_11_11_2_0_10_12_2_11_3_8_2_5_2_1_20_5_11_11_4_1_10_12_4_33_255
,,Cake,13,2,2,,10,7,80,64,50,0,0,254,False,,11_27,11_1_8_2_5_2_0_20_5_11_11_2_0_10_24_0_11_3_8_2_5_2_1_20_5_11_11_4_1_10_24_1_33_255,
,always,Cake,13,2,2,Always,10,7,80,64,50,0,0,254,False,Hunter 1/Hunter 2,,,11_1_8_2_5_2_0_20_5_11_11_2_0_10_12_2_11_3_8_2_5_2_1_20_5_11_11_4_1_10_12_4_33_255
Hunter 2,MS_cha2,Jungle,14,0,0,,9,5,80,95,32,3,3,254,False,,,,2_254_33_255
Hunter 2,MS_cha2,Music,14,0,0,,9,5,80,95,32,3,3,254,False,,,,2_254_33_255
Hunter 2,MS_cha2,Mountain,14,0,0,,10,6,80,95,32,3,3,254,False,,,,2_254_33_255
Hunter 2,MS_cha2,Image,14,0,0,,9,5,80,95,32,3,3,254,False,,,,2_254_33_255
Hunter 2,MS_cha2,Cave,14,0,0,,10,6,80,95,32,3,3,254,False,,,,2_254_33_255
Hunter 2,MS_cha2,Cake,14,0,0,,10,6,80,95,32,3,3,254,False,,,,2_254_33_255
,,Music,16,0,1,,13,12,64,0,12,0,0,0,True,,13,2_200_23_0_11_0_2_15_8_2_5_0_2_254_33_255,
Falling cloud,MS_sic2,Music,16,0,1,,13,12,64,0,12,0,0,0,True,,,,2_200_6_5_11_0_2_15_8_2_5_0_2_254_33_255
Falling cloud,MS_nu2,Mountain,16,0,1,,12,11,64,0,12,0,0,0,True,,,,2_200_6_5_11_0_2_15_8_2_5_0_2_254_33_255
Falling cloud,MS_gat2,Image,16,0,1,,14,13,64,0,12,0,0,0,True,,,,2_200_6_5_11_0_2_15_8_2_5_0_2_254_33_255
,,Cave,16,0,1,,13,12,64,0,12,0,0,0,True,,13,2_200_23_0_11_0_2_15_8_2_5_0_2_254_33_255,
Falling cloud,MS_nu2,Cave,16,0,1,,13,12,64,0,12,0,0,0,True,,,,2_200_6_5_11_0_2_15_8_2_5_0_2_254_33_255
,,Cake,16,0,1,,15,14,64,0,12,0,0,0,True,,13,2_200_23_0_11_0_2_15_8_2_5_0_2_254_33_255,
Falling cloud,MS_gat2,Cake,16,0,1,,15,14,64,0,12,0,0,0,True,,,,2_200_6_5_11_0_2_15_8_2_5_0_2_254_33_255
Falling stalactit platform,MS_cpl_down,Mountain,16,0,4,,21,18,64,0,7,0,0,0,True,,,,2_200_6_5_11_0_2_15_8_2_5_0_2_254_33_255
,,Cave,16,0,4,,20,20,64,0,7,0,0,0,True,,13,2_200_23_0_11_0_2_15_8_2_5_0_2_254_33_255,
Falling stalactit platform,MS_cpl_down,Cave,16,0,4,,20,20,64,0,7,0,0,0,True,,,,2_200_6_5_11_0_2_15_8_2_5_0_2_254_33_255
,,Jungle,16,0,40,,16,14,40,50,18,0,0,0,True,,13,2_200_23_0_11_0_2_15_8_2_5_0_2_254_33_255,
Little water lily falling,MS_ne2,Jungle,16,0,40,,16,14,40,50,18,0,0,0,True,,,,2_200_6_5_11_0_2_15_8_2_5_0_2_254_33_255
Rising cloud,MS_sic6,Music,17,0,1,,13,12,64,0,12,0,0,0,True,,,,2_200_6_5_11_0_2_15_8_2_5_1_2_254_33_255
Rising cloud,MS_nu6,Mountain,17,0,1,,12,11,64,0,12,0,0,0,True,,,,2_200_6_5_11_0_2_15_8_2_5_1_2_254_33_255
Rising cloud,MS_gat6,Image,17,0,1,,14,13,64,0,12,0,0,0,True,,,,2_200_6_5_11_0_2_15_8_2_5_1_2_254_33_255
Rising cloud,MS_nu6,Cave,17,0,1,,13,12,64,0,12,0,0,0,True,,,,2_200_6_5_11_0_2_15_8_2_5_1_2_254_33_255
Rising cloud,MS_gat6,Cake,17,0,1,,15,14,64,0,12,0,0,0,True,,,,2_200_6_5_11_0_2_15_8_2_5_1_2_254_33_255
,,Mountain,17,0,8,,21,18,64,0,7,0,0,0,True,,13,2_200_23_0_11_0_2_15_8_2_5_1_2_254_33_255,
Stalactit rising platform,MS_cpl_up,Mountain,17,0,8,,21,18,64,0,7,0,0,0,True,,,,2_200_6_5_11_0_2_15_8_2_5_1_2_254_33_255
,,Cave,17,0,8,,20,20,64,0,7,0,0,0,True,,13,2_200_23_0_11_0_2_15_8_2_5_1_2_254_33_255,
Stalactit rising platform,MS_cpl_up,Cave,17,0,8,,20,20,64,0,7,0,0,0,True,,,,2_200_6_5_11_0_2_15_8_2_5_1_2_254_33_255
,,Jungle,17,0,40,,16,14,80,50,18,0,0,0,True,,13,2_200_23_0_11_0_2_15_8_2_5_1_2_254_33_255,
Little water lily going up,MS_ne3,Jungle,17,0,40,,16,14,80,50,18,0,0,0,True,,,,2_200_6_5_11_0_2_15_8_2_5_1_2_254_33_255
,,Jungle,19,0,0,,19,17,40,42,0,0,0,0,False,,,2_200_33_255,
,always,Jungle,19,0,0,Always,19,17,40,42,0,0,0,0,False,,,,2_200_33_255
,,Music,19,0,0,,27,23,40,42,0,0,0,0,False,,,2_200_33_255,
,always,Music,19,0,0,Always,27,23,40,42,0,0,0,0,False,L1,,,2_200_33_255
,,Cave,19,0,0,,22,22,40,42,0,0,0,0,False,,,2_200_33_255,
,always,Cave,19,0,0,Always,22,22,40,42,0,0,0,0,False,,,,2_200_33_255
,,Cake,19,0,0,,24,21,40,42,0,0,0,0,False,,,2_200_33_255,
,always,Cake,19,0,0,Always,24,21,40,42,0,0,0,0,False,,,,2_200_33_255
Flower tentacle,MS_ten,Jungle,20,1,0,,20,18,128,200,0,0,6,255,False,,,,11_6_17_70_16_5_17_2_0_15_0_12_1_11_0_8_1_5_0_0_30_12_6_11_1_8_1_5_0_1_30_12_6_11_2_8_0_5_11_19_1_12_5_11_5_17_0_0_15_0_12_1_11_3_8_0_5_11_19_1_5_1_19_1_12_5_11_4_8_0_5_21_19_1_11_7_8_0_5_3_2_200_12_7_33_255
,,All,21,7,0,,2,1,80,0,0,0,0,0,False,,9,2_254_23_0_11_0_5_1_19_1_33_255,
Photographer,MS_pht,All,21,7,0,,2,1,80,0,0,0,0,0,False,,,,2_254_6_3_11_0_5_1_19_1_33_255
Photographer,MS_pht,All,21,7,0,,2,1,80,0,0,0,0,0,False,,,,2_254_6_3_11_0_5_1_19_1_33_255
Photographer,MS_pht,All,21,7,0,,2,1,80,0,0,0,0,0,False,,,,2_254_6_3_11_0_5_1_19_1_33_255
Photographer,MS_pht,All,21,7,0,,2,1,80,0,0,0,0,0,False,,,,2_254_6_3_11_0_5_1_19_1_33_255
Photographer,MS_pht,All,21,7,0,,2,1,80,0,0,0,0,0,False,,,,2_254_6_3_11_0_5_1_19_1_33_255
Photographer,MS_pht,All,21,7,0,,2,1,80,0,0,0,0,0,False,,,,2_254_6_3_11_0_5_1_19_1_33_255
,,Music,22,0,10,,13,12,64,0,12,0,0,0,True,,1_9,11_99_20_1_0_254_23_0_11_99_20_1_0_2_23_1_33_255,
Horizontal cloud,MS_sic4,Music,22,0,10,,13,12,64,0,12,0,0,0,True,,,,11_99_20_1_2_0_6_4_11_99_20_1_254_0_6_4_33_255
Vertical cloud,MS_sic7,Music,22,0,10,,13,12,64,0,12,0,0,0,True,,,,11_99_20_1_0_254_6_4_11_99_20_1_0_2_6_4_33_255
Horizontal cloud,MS_nu4,Mountain,22,0,10,,12,11,64,0,12,0,0,0,True,,,,11_99_20_1_2_0_6_4_11_99_20_1_254_0_6_4_33_255
Vertical cloud,MS_nu7,Mountain,22,0,10,,12,11,64,0,12,0,0,0,True,,,,11_99_20_1_0_254_6_4_11_99_20_1_0_2_6_4_33_255
,,Image,22,0,10,,11,8,80,80,4,0,0,0,True,,1_9,11_99_20_1_0_254_23_0_11_99_20_1_0_2_23_1_33_255,
,,Image,22,0,10,,11,8,80,80,4,0,0,0,True,,1_9,11_99_20_1_2_0_23_0_11_99_20_1_254_0_23_1_33_255,
Horizontal pencil sharpener,MS_taille4,Image,22,0,10,,11,8,80,80,4,0,0,0,True,,,,11_99_20_1_2_0_6_4_11_99_20_1_254_0_6_4_33_255
Vertical pencil sharpener,MS_taille7,Image,22,0,10,,11,8,80,80,4,0,0,0,True,,,,11_99_20_1_0_254_6_4_11_99_20_1_0_2_6_4_33_255
Following pencil sharpener 1,MS_taille8,Image,22,0,10,,11,8,80,80,4,0,0,0,True,,,,11_99_20_1_2_0_6_7_11_99_20_1_255_255_6_7_11_99_20_1_255_1_6_7_33_255
Following pencil sharpener 2,MS_taille8bis,Image,22,0,10,,11,8,80,80,4,0,0,0,True,,,,11_99_20_1_254_0_6_7_11_99_20_1_1_255_6_7_11_99_20_1_1_1_6_7_33_255
Cyclical up down pencil sharpener,MS_taille9,Image,22,0,10,,11,8,80,80,4,0,0,0,True,,,,11_99_20_1_2_0_6_10_11_99_20_1_0_254_6_10_11_99_20_1_254_0_6_10_11_99_20_1_0_2_6_10_33_255
Cyclical right left pencil sharpener,MS_taille9bis,Image,22,0,10,,11,8,80,80,4,0,0,0,True,,,,11_99_20_1_2_0_6_10_11_99_20_1_0_2_6_10_11_99_20_1_254_0_6_10_11_99_20_1_0_254_6_10_33_255
Diagonal pencil sharpener 1,MS_taille10,Image,22,0,10,,11,8,80,80,4,0,0,0,True,,,,11_99_20_1_1_1_6_4_11_99_20_1_255_255_6_4_33_255
Diagonal pencil sharpener 2,MS_taille10bis,Image,22,0,10,,11,8,80,80,4,0,0,0,True,,,,11_99_20_1_255_1_6_4_11_99_20_1_1_255_6_4_33_255
Horizontal cloud,MS_gat4,Image,22,0,10,,14,13,64,0,12,0,0,0,True,,,,11_99_20_1_2_0_6_4_11_99_20_1_254_0_6_4_33_255
Vertical cloud,MS_gat7,Image,22,0,10,,14,13,64,0,12,0,0,0,True,,,,11_99_20_1_0_254_6_4_11_99_20_1_0_2_6_4_33_255
Horizontal cloud,MS_nu4,Cave,22,0,10,,13,12,64,0,12,0,0,0,True,,,,11_99_20_1_2_0_6_4_11_99_20_1_254_0_6_4_33_255
Vertical cloud,MS_nu7,Cave,22,0,10,,13,12,64,0,12,0,0,0,True,,,,11_99_20_1_0_254_6_4_11_99_20_1_0_2_6_4_33_255
,,Cake,22,0,10,,15,14,64,0,12,0,0,0,True,,1_9,11_99_20_1_2_0_23_0_11_99_20_1_254_0_23_1_33_255,
,,Cake,22,0,10,,15,14,64,0,12,0,0,0,True,,1_9,11_99_20_1_0_254_23_0_11_99_20_1_0_2_23_1_33_255,
