Name,CodeName,Type,TypeName,Etat,SubEtat,DES,ETA,Worlds,Engines,OffsetBX,OffsetBY,OffsetHY,FollowSprite,HitPoints,HitSprite,FollowEnabled,ConnectedEvents,LabelOffsets,Commands
Yinyang (Static),MS_ubi_yin3,1,TYPE_PLATFORM,0,14,IPL,IPL,4,R1-KIT-EDU,90,64,10,0,1,254,True,,,30-250-33-255
Power Up (1HP),MS_po1,2,TYPE_POWERUP,6,0,DIV,DIV,1-2-3-4-5-6,R1-KIT-EDU,80,32,0,0,1,254,False,,,2-254-33-255
Power Up (2HP),MS_po2,2,TYPE_POWERUP,6,1,DIV,DIV,1-2-3-4-5-6,R1-KIT-EDU,80,32,0,0,2,254,False,,,2-254-33-255
Power Up (3HP),MS_po3,2,TYPE_POWERUP,6,1,DIV,DIV,1-2-3-4-5-6,R1-KIT-EDU,80,32,0,0,3,254,False,,,2-254-33-255
Power Up (4HP),MS_po4,2,TYPE_POWERUP,6,1,DIV,DIV,1-2-3-4-5-6,R1-KIT-EDU,80,32,0,0,4,254,False,,,2-254-33-255
Electoon,always,3,TYPE_LIDOLPINK,2,1,ELE,ELE,1-2-3-4-5-6,R1-KIT-EDU,16,62,44,0,0,0,False,,1-1-51,11-1-8-1-5-0-19-5-8-0-5-0-19-2-8-1-5-0-19-4-8-0-5-1-19-1-8-1-5-0-19-6-8-0-5-2-19-2-24-0-11-0-8-0-5-4-19-1-24-1-11-2-30-200-24-2-33-255
Birds,MS_mus_piaf,4,TYPE_NEUTRAL,0,0,MUS,MUS,3-5,R1-KIT-EDU,18,32,0,0,0,0,False,,,2-200-33-255
Mushrooms (Jumping),MS_tas,4,TYPE_NEUTRAL,0,0,NEN,NEN,1,R1-KIT-EDU,80,0,0,0,0,0,False,,,2-254-33-255
Musician's Family,MS_mus_fam,4,TYPE_NEUTRAL,0,2,MUS,MUS,3-5,R1-KIT-EDU,18,32,0,0,0,0,False,,,2-200-33-255
Torch (Background),MS_flamme1,4,TYPE_NEUTRAL,0,2,TOR,BST,3,R1-KIT-EDU,80,50,18,0,200,0,False,,,2-250-33-255
Torch (Background),MS_flamme2,4,TYPE_NEUTRAL,0,2,TOV,BST,5,R1-KIT-EDU,80,50,18,0,200,0,False,,,2-250-33-255
Mushrooms (Dancing),MS_fam,4,TYPE_NEUTRAL,0,3,NEN,NEN,1,R1-KIT-EDU,80,0,0,0,0,0,False,,,2-254-33-255
Flower (Dancing),MS_tam,4,TYPE_NEUTRAL,0,4,NEN,NEN,1,R1-KIT-EDU,80,0,0,0,0,0,False,,,2-254-33-255
Butterfly (1),MS_pap1,4,TYPE_NEUTRAL,0,30,NEN,NEN,1,R1-KIT-EDU,80,0,0,0,0,0,False,,,2-254-33-255
Butterfly (2),MS_pap2,4,TYPE_NEUTRAL,0,31,NEN,NEN,1,R1-KIT-EDU,80,0,0,0,0,0,False,,,2-254-33-255
Butterfly (3),MS_pap3,4,TYPE_NEUTRAL,0,32,NEN,NEN,1,R1-KIT-EDU,80,0,0,0,0,0,False,,,2-254-33-255
Butterfly (4),MS_pap4,4,TYPE_NEUTRAL,0,33,NEN,NEN,1,R1-KIT-EDU,80,0,0,0,0,0,False,,,2-254-33-255
Butterfly (5),MS_pap5,4,TYPE_NEUTRAL,0,34,NEN,NEN,1,R1-KIT-EDU,80,0,0,0,0,0,False,,,2-254-33-255
Butterfly (6),MS_pap6,4,TYPE_NEUTRAL,0,35,NEN,NEN,1,R1-KIT-EDU,80,0,0,0,0,0,False,,,2-254-33-255
Butterfly (7),MS_pap7,4,TYPE_NEUTRAL,0,36,NEN,NEN,1,R1-KIT-EDU,80,0,0,0,0,0,False,,,2-254-33-255
Butterfly (8),MS_pap8,4,TYPE_NEUTRAL,0,37,NEN,NEN,1,R1-KIT-EDU,80,0,0,0,0,0,False,,,2-254-33-255
Sparkle (Single 1),MS_scint_single1,4,TYPE_NEUTRAL,0,56,PNG,PNG,1-2-3-4-5-6,KIT-EDU,0,0,0,0,0,0,False,,,
Sparkle (Single 2),MS_scint_single2,4,TYPE_NEUTRAL,0,57,PNG,PNG,1-2-3-4-5-6,KIT-EDU,0,0,0,0,0,0,False,,,
Sparkle (Spikes 1),MS_scint_spikes1,4,TYPE_NEUTRAL,0,58,PNG,PNG,1-2-3-4-5-6,KIT-EDU,0,0,0,0,0,0,False,,,
Sparkle (Spikes 2),MS_scint_spikes2,4,TYPE_NEUTRAL,0,59,PNG,PNG,1-2-3-4-5-6,KIT-EDU,0,0,0,0,0,0,False,,,
Sparkle (Single 1),MS_scint_single1,4,TYPE_NEUTRAL,0,60,PNG,PNG,1-2-3-4-5-6,R1,0,0,0,0,0,0,False,,,
Sparkle (Single 2),MS_scint_single2,4,TYPE_NEUTRAL,0,61,PNG,PNG,1-2-3-4-5-6,R1,0,0,0,0,0,0,False,,,
Sparkle (Spikes 1),MS_scint_spikes1,4,TYPE_NEUTRAL,0,62,PNG,PNG,1-2-3-4-5-6,R1,0,0,0,0,0,0,False,,,
Sparkle (Spikes 2),MS_scint_spikes2,4,TYPE_NEUTRAL,0,63,PNG,PNG,1-2-3-4-5-6,R1,0,0,0,0,0,0,False,,,
Sparkle (Notes 1),MS_scint_notes1,4,TYPE_NEUTRAL,5,16,PNG,PNG,1-2-3-4-5-6,R1-KIT-EDU,80,96,50,0,0,0,False,,,2-254-33-255
Sparkle (Notes 2),MS_scint_notes2,4,TYPE_NEUTRAL,5,17,PNG,PNG,1-2-3-4-5-6,R1-KIT-EDU,80,96,50,0,0,0,False,,,2-254-33-255
Bonus Magician,MS_wizard1,5,TYPE_WIZARD1,8,0,DIV,DIV,1-6,R1,56,97,80,3,0,0,False,,,2-254-33-255
Bonus Magician,MS_wizard1,5,TYPE_WIZARD1,8,0,DIV,DIV,2-3-5,R1,56,97,0,3,0,0,False,,,2-254-33-255
Bonus Magician,MS_wizard1,5,TYPE_WIZARD1,8,0,DIV,DIV,4,R1,56,97,0,0,0,0,False,,,2-254-33-255
Yinyang with spike (Steady),MS_ubi_yin2,6,TYPE_FALLING_YING_OUYE,0,13,IPL,IPL,4,R1-KIT-EDU,90,64,48,2,1,254,False,,,30-250-33-255
Yinyang with spike (Moving),MS_ubi_yin2bis,6,TYPE_FALLING_YING_OUYE,2,0,IPL,IPL,4,R1-KIT-EDU,90,64,48,2,1,254,False,,,30-250-33-255
Spiky Fruit Swing,MS_li3,7,TYPE_MORNINGSTAR,0,7,NEN,NEN,1,R1-KIT-EDU,80,20,0,0,0,254,False,,,2-254-33-255
Plum (Steady 1),MS_fr1,8,TYPE_FALLING_OBJ,0,12,NEN,NEN,1,R1-KIT-EDU,20,30,9,0,1,254,True,,,2-254-33-255
Plum (Moving),MS_ubi_fr4,8,TYPE_FALLING_OBJ,2,2,NEN,NEN,1,R1-KIT-EDU,20,30,11,0,1,254,True,,,2-254-33-255
Livingstone Little,MS_pti,9,TYPE_BADGUY2,0,0,LIV,LIVPTI,1,R1-KIT-EDU,80,95,50,3,2,254,False,,17-39-17-59-81-59,11-0-8-0-5-7-19-1-23-0-11-5-8-1-5-13-11-2-0-100-2-1-8-0-5-0-19-1-0-100-23-1-11-4-8-0-5-14-19-1-24-2-11-1-8-0-5-7-19-1-23-3-11-6-8-1-5-13-11-3-1-100-2-1-8-0-5-0-19-1-1-100-23-4-11-4-8-0-5-14-19-1-24-5-33-255
Piranha,MS_pir,10,TYPE_FISH,0,0,PIR,PIR,1,R1-KIT-EDU,80,80,0,0,1,255,False,,,11-1-3-120-33-255
Hit Effect,always,11,TYPE_BOUM,5,0,DIV,DIV,1-2-3-5-6,R1-KIT-EDU,24,32,0,0,0,0,False,,,2-200-33-255
Hit Effect,always,11,TYPE_BOUM,5,0,DIV,DIV,4,R1-KIT-EDU,24,32,0,0,0,0,False,,,30-200-33-255
Hunter,MS_cha,12,TYPE_CHASSEUR1,0,0,CHA,CHA,1-2-3-4-5-6,R1-KIT-EDU,80,95,32,3,3,254,False,,,2-254-33-255
Bullet (Shot),always,13,TYPE_BALLE1,2,2,CHA,BAL,1-2-3-4-5-6,R1-KIT-EDU,80,64,50,0,0,254,False,MS_cha-MS_cha2,11-27,11-1-8-2-5-2-0-20-5-11-11-2-0-10-24-0-11-3-8-2-5-2-1-20-5-11-11-4-1-10-24-1-33-255
Hunter (Upwards shot),MS_cha2,14,TYPE_CHASSEUR2,0,0,CHA,CHA,1-2-3-4-5-6,KIT-EDU,80,95,32,3,3,254,False,,,2-254-33-255
Cloud (Falling),MS_sic2-MS_nu2-MS_gat2,16,TYPE_FALLPLAT,0,1,NUA,NUA,1-2-3-4-5-6,R1-KIT-EDU,64,0,12,0,0,0,True,,13,2-200-23-0-11-0-2-15-8-2-5-0-2-254-33-255
Stalactites (Falling Bigger Hitbox),MS_cpl_down_bigger,16,TYPE_FALLPLAT,0,4,CPL,CPL,1-3-5,R1-KIT-EDU,64,0,9,0,0,0,True,,13,2-200-23-0-11-0-2-15-8-2-5-0-2-254-33-255
Stalactites (Falling Bigger Hitbox),MS_cpl_down_bigger,16,TYPE_FALLPLAT,0,4,CPR,CPL,2-4-6,R1-KIT-EDU,64,0,9,0,0,0,True,,13,2-200-23-0-11-0-2-15-8-2-5-0-2-254-33-255
Stalactites (Falling),MS_cpl_down,16,TYPE_FALLPLAT,0,4,CPL,CPL,1-3-5,R1-KIT-EDU,64,0,7,0,0,0,True,,13,2-200-23-0-11-0-2-15-8-2-5-0-2-254-33-255
Stalactites (Falling),MS_cpl_down,16,TYPE_FALLPLAT,0,4,CPR,CPL,2-4-6,R1-KIT-EDU,64,0,7,0,0,0,True,,13,2-200-23-0-11-0-2-15-8-2-5-0-2-254-33-255
Water Lily (Falling),MS_ne2,16,TYPE_FALLPLAT,0,40,NEN,NEN,1,R1-KIT-EDU,40,50,18,0,0,0,True,,13,2-200-23-0-11-0-2-15-8-2-5-0-2-254-33-255
Cloud (Rising),MS_sic6-MS_nu6-MS_gat6,17,TYPE_LIFTPLAT,0,1,NUA,NUA,1-2-3-4-5-6,R1-KIT-EDU,64,0,12,0,0,0,True,,13,2-200-23-0-11-0-2-15-8-2-5-1-2-254-33-255
Stalactites (Rising Bigger Hitbox),MS_cpl_up_bigger,17,TYPE_LIFTPLAT,0,8,CPL,CPL,1-3-5,R1-KIT-EDU,64,0,9,0,0,0,True,,13,2-200-23-0-11-0-2-15-8-2-5-1-2-254-33-255
Stalactites (Rising Bigger Hitbox),MS_cpl_up_bigger,17,TYPE_LIFTPLAT,0,8,CPR,CPL,2-4-6,R1-KIT-EDU,64,0,9,0,0,0,True,,13,2-200-23-0-11-0-2-15-8-2-5-1-2-254-33-255
Stalactites (Rising),MS_cpl_up,17,TYPE_LIFTPLAT,0,8,CPL,CPL,1-3-5,R1-KIT-EDU,64,0,7,0,0,0,True,,13,2-200-23-0-11-0-2-15-8-2-5-1-2-254-33-255
Stalactites (Rising),MS_cpl_up,17,TYPE_LIFTPLAT,0,8,CPR,CPL,2-4-6,R1-KIT-EDU,64,0,7,0,0,0,True,,13,2-200-23-0-11-0-2-15-8-2-5-1-2-254-33-255
Water Lily (Rising),MS_ne3,17,TYPE_LIFTPLAT,0,40,NEN,NEN,1,R1-KIT-EDU,80,50,18,0,0,0,True,,13,2-200-23-0-11-0-2-15-8-2-5-1-2-254-33-255
Splash,always,19,TYPE_SPLASH,0,0,SPL,SPL,1-2-5-6,R1-KIT-EDU,40,42,0,0,0,0,False,,,2-200-33-255
Tentacle Flower,MS_ten,20,TYPE_GENEBADGUY,1,0,TEN,TEN,1,R1-KIT-EDU,128,200,0,0,6,255,False,,44-14-24-1-1-44-14-24-44-75,11-6-17-70-27-0-17-2-0-26-1-24-2-11-0-8-1-5-0-0-30-24-3-11-1-8-1-5-0-1-30-24-4-11-2-8-0-5-11-19-1-24-5-11-5-17-0-0-26-6-24-7-11-3-8-0-5-11-19-1-5-1-19-1-24-8-11-4-8-0-5-21-19-1-11-7-8-0-5-3-2-200-24-9-33-255
Photographer,MS_pht,21,TYPE_PHOTOGRAPHE,7,0,DIV,DIV,1-2-3-4-5-6,R1-KIT-EDU,80,0,0,0,0,0,False,,9,2-254-23-0-11-0-5-1-19-1-33-255
Cloud (Horizontal),MS_sic4-MS_nu4-MS_gat4,22,TYPE_MOVE_PLAT,0,10,NUA,NUA,1-2-3-4-5-6,R1-KIT-EDU,64,0,12,0,0,0,True,,1-9,11-99-20-1-2-0-23-0-11-99-20-1-254-0-23-1-33-255
Cloud (Vertical),MS_sic7-MS_nu7-MS_gat7,22,TYPE_MOVE_PLAT,0,10,NUA,NUA,1-2-3-4-5-6,R1-KIT-EDU,64,0,12,0,0,0,True,,1-9,11-99-20-1-0-254-23-0-11-99-20-1-0-2-23-1-33-255
Pencil Sharpener (Diagonal 1),MS_taille10,22,TYPE_MOVE_PLAT,0,10,IPL,IPL,4,R1-KIT-EDU,80,80,4,0,0,0,True,,1-9,11-99-20-1-255-1-23-0-11-99-20-1-1-255-23-1-33-255
Pencil Sharpener (Diagonal 2),MS_taille10bis,22,TYPE_MOVE_PLAT,0,10,IPL,IPL,4,R1-KIT-EDU,80,80,4,0,0,0,True,,1-9,11-99-20-1-1-1-23-0-11-99-20-1-255-255-23-1-33-255
Pencil Sharpener (Horizontal),MS_taille4,22,TYPE_MOVE_PLAT,0,10,IPL,IPL,4,R1-KIT-EDU,80,80,4,0,0,0,True,,1-9,11-99-20-1-2-0-23-0-11-99-20-1-254-0-23-1-33-255
Pencil Sharpener (Vertical),MS_taille7,22,TYPE_MOVE_PLAT,0,10,IPL,IPL,4,R1-KIT-EDU,80,80,4,0,0,0,True,,1-9,11-99-20-1-0-254-23-0-11-99-20-1-0-2-23-1-33-255
Pencil Sharpener (Zigzag 1),MS_taille8,22,TYPE_MOVE_PLAT,0,10,IPL,IPL,4,R1-KIT-EDU,80,80,4,0,0,0,True,,1-9-17,11-99-20-1-2-0-23-0-11-99-20-1-255-255-23-1-11-99-20-1-255-1-23-2-33-255
Pencil Sharpener (Zigzag 2),MS_taille8bis,22,TYPE_MOVE_PLAT,0,10,IPL,IPL,4,R1-KIT-EDU,80,80,4,0,0,0,True,,1-9-17,11-99-20-1-254-0-23-0-11-99-20-1-1-255-23-1-11-99-20-1-1-1-23-2-33-255
Pencil Sharpener (Cyclical right left),MS_taille9bis,22,TYPE_MOVE_PLAT,0,10,IPL,IPL,4,R1-KIT-EDU,80,80,4,0,0,0,True,,1-9-17-25,11-99-20-1-2-0-23-0-11-99-20-1-0-2-23-1-11-99-20-1-254-0-23-2-11-99-20-1-0-254-23-3-33-255
Pencil Sharpener (Cyclical up down),MS_taille9,22,TYPE_MOVE_PLAT,0,10,IPL,IPL,4,R1-KIT-EDU,80,80,4,0,0,0,True,,1-9-17-25,11-99-20-1-2-0-23-0-11-99-20-1-0-254-23-1-11-99-20-1-254-0-23-2-11-99-20-1-0-2-23-3-33-255
Water Lily (Horizontal),MS_ne4,22,TYPE_MOVE_PLAT,0,16,NEN,NEN,1,R1-KIT-EDU,40,0,18,0,0,0,True,,1-9,11-99-20-1-2-0-23-0-11-99-20-1-254-0-23-1-33-255
Water Lily (Vertical),MS_ne7,22,TYPE_MOVE_PLAT,0,16,NEN,NEN,1,R1-KIT-EDU,40,0,18,0,0,0,True,,1-9,11-99-20-1-0-254-23-0-11-99-20-1-0-2-23-1-33-255
Rayman,,23,TYPE_RAYMAN,0,19,RAY,RAY,1-2-3-4-5-6,R1-KIT-EDU,80,78,20,0,0,0,False,,,
Rayman On Bzzit,MS_ubi_rayman,23,TYPE_RAYMAN,6,0,RMS,RMS,1,R1-KIT-EDU,80,80,48,0,1,0,False,,,2-254-33-255
Cloud 2,MS_nua_eject_inst,25,TYPE_INST_PLAT,0,22,NUA,NUA,1-2-3-4-5-6,R1-KIT-EDU,64,0,12,0,0,0,True,,,2-254-33-255
Cloud (Disappearing),MS_sic_disp-MS_nua_disp-MS_gat_disp,26,TYPE_CRUMBLE_PLAT,0,21,NUA,NUA,1-2-3-4-5-6,R1-KIT-EDU,64,0,12,0,0,0,True,,,2-254-33-255
Water Lily (Disappearing),MS_ne21,26,TYPE_CRUMBLE_PLAT,0,21,NEN,NEN,1,R1-KIT-EDU,40,0,18,0,0,0,True,,,2-254-33-255
Cloud (Trampoline),MS_sic24-MS_nu24-MS_gat24,27,TYPE_BOING_PLAT,0,24,NUA,NUA,1-2-3-4-5-6,R1-KIT-EDU,64,0,12,0,0,0,True,,,2-254-33-255
Water Lily (Trampoline),MS_ne24,27,TYPE_BOING_PLAT,0,24,NEN,NEN,1,R1-KIT-EDU,40,0,18,0,0,0,True,,,2-254-33-255
Cloud (Flashing),MS_sic20-MS_nu20-MS_gat20,28,TYPE_ONOFF_PLAT,0,20,NUA,NUA,1-2-3-4-5-6,R1-KIT-EDU,64,0,12,0,0,0,True,,,2-254-33-255
Cloud (Autojump),MS_sic23-MS_nu23-MS_gat23,29,TYPE_AUTOJUMP_PLAT,0,23,NUA,NUA,1-2-3-4-5-6,R1-KIT-EDU,64,0,12,0,0,0,True,,,2-254-33-255
Water Lily (Autojump),MS_ne23,29,TYPE_AUTOJUMP_PLAT,0,23,NEN,NEN,1,R1-KIT-EDU,40,0,18,0,0,0,True,,,2-254-33-255
Ambient Starter,MS_audio_start,30,TYPE_AUDIOSTART,5,65,PNG,PNG,1-2-3-4-5-6,R1-EDU,64,64,64,0,11,255,False,,,
Oneup Collected,always,31,TYPE_ONEUP_ALWAYS,5,19,PNG,PNG,1-2-3-5-6,R1-KIT-EDU,80,64,32,0,200,0,False,,,2-254-33-255
Oneup Collected,always,31,TYPE_ONEUP_ALWAYS,5,19,PNG,PNG,4,R1-KIT-EDU,80,64,32,0,200,0,False,,,30-254-33-255
Mr Dark (Boss 2nd Phase),MS_dark_phase2,32,TYPE_DARK_PHASE2,0,38,VIR,VIR,6,R1-KIT-EDU,80,136,0,0,1,255,False,,,2-254-33-255
Fireballs,always,33,TYPE_DARK2_SORT,0,37,VIR,VIR,6,R1-KIT-EDU,96,144,112,0,0,255,False,MS_dark_phase2,,30-200-33-255
Water Lily (Horizontal Autojump),MS_ne4_autojump,34,TYPE_MOVE_AUTOJUMP_PLAT,0,27,NEN,NEN,1,R1-KIT-EDU,40,0,18,0,0,0,True,,1-9,11-99-20-1-2-0-23-0-11-99-20-1-254-0-23-1-33-255
Stone Man (Throws Lavaballs 5hp),MS_hpi,35,TYPE_STONEMAN1,0,0,HP,HP,3-5,R1-KIT-EDU,80,127,0,3,5,254,False,,80-9-80-27-9-27-97-97-92-9-27,11-4-8-0-5-7-19-1-11-2-0-200-25-0-19-1-24-1-11-5-8-0-5-7-19-1-11-3-1-200-25-2-19-1-24-3-11-0-8-0-5-3-19-1-8-0-5-4-19-1-17-2-0-26-4-24-5-11-1-8-0-5-1-19-1-17-70-27-6-11-7-8-0-5-2-19-1-24-7-11-9-8-0-17-1-1-26-8-5-0-14-11-6-5-8-14-11-8-17-0-0-26-9-24-10-33-255
Stone Man (Throws Lavaballs 10hp),MS_hpi,35,TYPE_STONEMAN1,0,0,HP,HP,3-5,R1-KIT-EDU,80,127,0,3,10,254,False,,80-9-80-27-9-27-97-97-92-9-27,11-4-8-0-5-7-19-1-11-2-0-200-25-0-19-1-24-1-11-5-8-0-5-7-19-1-11-3-1-200-25-2-19-1-24-3-11-0-8-0-5-3-19-1-8-0-5-4-19-1-17-2-0-26-4-24-5-11-1-8-0-5-1-19-1-17-70-27-6-11-7-8-0-5-2-19-1-24-7-11-9-8-0-17-1-1-26-8-5-0-14-11-6-5-8-14-11-8-17-0-0-26-9-24-10-33-255
Lava Ball (Thrown),always,36,TYPE_STONEBOMB,2,2,HP,HP,3,R1-KIT-EDU,80,96,80,3,2,255,False,MS_hpi-MS_hpi2-MS_hpi3-MS_hpi4,1-7,11-0-0-100-23-0-11-1-1-100-23-1-33-255
Lava Ball (Thrown),always,36,TYPE_STONEBOMB,2,2,HPV,HP,5,R1-KIT-EDU,80,96,80,3,2,255,False,MS_hpi-MS_hpi2-MS_hpi3-MS_hpi4,1-7,11-0-0-100-23-0-11-1-1-100-23-1-33-255
Tarayzan,MS_trz,37,TYPE_TARZAN,0,0,TRZ,TRZ,1,R1-KIT-EDU,80,97,80,0,1,254,False,,,2-200-33-255
Magic Seed,always,38,TYPE_GRAINE,0,5,TRZ,TRZ,1,R1-KIT-EDU,20,34,20,0,0,0,False,,,2-200-33-255
Water Lily Planted,always,39,TYPE_NEN_GRAINE,0,38,NEN,NEN,1,R1-KIT-EDU,40,118,18,0,0,0,True,,,2-200-33-255
Water Lily Planted,always,39,TYPE_NEN_GRAINE,0,38,NEN,NEN,1,R1-KIT-EDU,40,118,18,0,1,254,True,,,2-200-33-255
Stone Dog,MS_tip,40,TYPE_STONEDOG,0,0,TIP,TIP,3-5,R1-KIT-EDU,80,96,64,3,2,254,False,,1-13-46-40-46-46-40-1-13-40,11-0-0-200-8-0-5-0-19-3-24-0-11-1-1-200-8-0-5-0-19-3-24-1-11-2-8-2-5-0-20-1-0-252-17-0-0-26-2-11-7-1-200-24-3-11-6-0-200-24-4-11-8-20-1-0-0-8-0-5-0-19-1-8-2-11-9-5-0-20-1-0-250-17-0-0-26-5-24-6-11-4-8-0-5-1-19-1-8-0-5-0-19-1-11-3-17-0-0-26-7-24-8-11-5-8-2-5-1-20-1-0-254-17-0-0-26-9-33-255
Prickly (Blue),MS_ouye,41,TYPE_OUYE,0,0,CPL,CPL,1-3-5-6,R1-KIT-EDU,18,32,0,0,0,254,False,,,2-254-33-255
Prickly (Blue),MS_ouye,41,TYPE_OUYE,0,0,PIC,CPL,2,R1-KIT-EDU,18,32,0,0,0,254,False,,,2-254-33-255
Prickly (Green),MS_ouye,41,TYPE_OUYE,0,0,CPV,CPL,1,KIT,18,32,0,0,0,254,False,,,2-254-33-255
Prickly (Red Insta-kill),MS_ouye_insta,41,TYPE_OUYE,0,0,CPR,CPL,1-2-3-4-5-6,KIT-EDU,18,32,0,0,1,254,False,,,2-254-33-255
Sign Exit,MS_goto,42,TYPE_SIGNPOST,0,1,ELE,PAN,1-2-3-4-5-6,R1-KIT-EDU,80,96,50,0,0,255,False,,,2-254-33-255
Sign Exit (Mirrored),MS_pan3,42,TYPE_SIGNPOST,0,2,ELE,PAN,1-2-3-4-5-6,R1-KIT-EDU,80,96,50,0,0,255,False,,,2-254-33-255
Stone Man (Slams Ground 5hp),MS_hpi2,43,TYPE_STONEMAN2,0,0,HP,HP,3-5,R1-KIT-EDU,80,127,0,3,5,254,False,,82-9-82-27-9-27-99-99-94-9-27,11-4-8-0-5-7-19-1-11-2-0-200-25-0-19-1-24-1-11-5-8-0-5-7-19-1-11-3-1-200-25-2-19-1-24-3-11-0-8-0-5-3-19-1-8-0-5-4-19-1-17-2-0-26-4-24-5-11-1-8-0-5-1-19-1-17-70-27-6-11-7-8-0-5-5-19-1-19-1-24-7-11-9-8-0-17-1-1-26-8-5-0-14-11-6-5-8-14-11-8-17-0-0-26-9-24-10-33-255
Stone Man (Slams Ground 10hp),MS_hpi2,43,TYPE_STONEMAN2,0,0,HP,HP,3-5,R1-KIT-EDU,80,127,0,3,10,254,False,,82-9-82-27-9-27-99-99-94-9-27,11-4-8-0-5-7-19-1-11-2-0-200-25-0-19-1-24-1-11-5-8-0-5-7-19-1-11-3-1-200-25-2-19-1-24-3-11-0-8-0-5-3-19-1-8-0-5-4-19-1-17-2-0-26-4-24-5-11-1-8-0-5-1-19-1-17-70-27-6-11-7-8-0-5-5-19-1-19-1-24-7-11-9-8-0-17-1-1-26-8-5-0-14-11-6-5-8-14-11-8-17-0-0-26-9-24-10-33-255
Flame Projectile,always,44,TYPE_CLASH,2,3,ELE,ELE,1-2-3-4-5-6,R1-KIT-EDU,24,14,0,3,0,254,False,,1-7,11-0-0-100-23-0-11-1-1-100-23-1-33-255
Prickly (Blue Horizontal),MS_ouye2,45,TYPE_MOVE_OUYE,0,0,CPL,CPL,1-3-5-6,R1-KIT-EDU,18,32,0,0,0,254,False,,1-9,11-99-20-1-2-0-23-0-11-99-20-1-254-0-23-1-33-255
Prickly (Blue Horizontal),MS_ouye2,45,TYPE_MOVE_OUYE,0,0,PIC,CPL,2,R1-KIT-EDU,18,32,0,0,0,254,False,,1-9,11-99-20-1-2-0-23-0-11-99-20-1-254-0-23-1-33-255
Prickly (Blue Vertical),MS_ouye3,45,TYPE_MOVE_OUYE,0,0,CPL,CPL,1-3-5-6,R1-KIT-EDU,18,32,0,0,0,254,False,,1-9,11-99-20-1-0-254-23-0-11-99-20-1-0-2-23-1-33-255
Prickly (Blue Vertical),MS_ouye3,45,TYPE_MOVE_OUYE,0,0,PIC,CPL,2,R1-KIT-EDU,18,32,0,0,0,254,False,,1-9,11-99-20-1-0-254-23-0-11-99-20-1-0-2-23-1-33-255
